MMSDM_PACKAGE_NAME,MMSDM_TABLE_NAME,PDR_REPORT_NAME,PDR_REPORT_SUB_TYPE,PDR_REPORT_VERSION,PDR_REPORT_TRANSACTION_TYPE,PDR_REPORT_ROW_FILTER_TYPE
BILLING_RUN,BILLINGSMELTERREDUCTION,BILLING,SMELTERREDUCTION,5,INSERT,
BILLING_RUN,BILLING_APC_COMPENSATION,BILLING,APC_COMPENSATION,2,INSERT,
BILLING_RUN,BILLING_APC_RECOVERY,BILLING,APC_RECOVERY,2,INSERT,
BILLING_RUN,BILLING_CO2E_PUBLICATION,BILLING,BILLING_CO2E_PUBLICATION,1,INSERT,
BILLING_RUN,BILLING_CO2E_PUBLICATION_TRK,BILLING,BILLING_CO2E_PUBLICATION_TRK,1,INSERT-UPDATE,LASTCHANGED
BILLING_RUN,BILLING_DAILY_ENERGY_SUMMARY,BILLING,DAILY_ENERGY_SUMMARY,1,INSERT,
BILLING_RUN,BILLING_DIRECTION_RECONCILIATN,BILLING,DIRECTION_RECONCILIATN,1,INSERT,
BILLING_RUN,BILLING_DIRECTION_RECON_OTHER,BILLING,BILLING_DIRECTION_RECON_OTHER,1,INSERT,
BILLING_RUN,BILLING_EFTSHORTFALL_AMOUNT,BILLING,EFTSHORTFALL_AMOUNT,1,INSERT,
BILLING_RUN,BILLING_EFTSHORTFALL_DETAIL,BILLING,EFTSHORTFALL_DETAIL,1,INSERT,
BILLING_RUN,BILLING_GST_DETAIL,BILLING,GST_DETAIL,5,INSERT,
BILLING_RUN,BILLING_GST_SUMMARY,BILLING,GST_SUMMARY,5,INSERT,
BILLING_RUN,BILLING_MR_PAYMENT,BILLING,MR_PAYMENT,5,INSERT,
BILLING_RUN,BILLING_MR_RECOVERY,BILLING,MR_RECOVERY,5,INSERT,
BILLING_RUN,BILLING_MR_SHORTFALL,BILLING,MR_SHORTFALL,5,INSERT,
BILLING_RUN,BILLING_MR_SUMMARY,BILLING,MR_SUMMARY,5,INSERT,
BILLING_RUN,BILLING_NMAS_TST_PAYMENTS,BILLING,NMAS_TST_PAYMENTS,1,INSERT,
BILLING_RUN,BILLING_NMAS_TST_RECOVERY,BILLING,NMAS_TST_RECOVERY,1,INSERT,
BILLING_RUN,BILLING_NMAS_TST_RECVRY_RBF,BILLING,NMAS_TST_RECVRY_RBF,1,INSERT,
BILLING_RUN,BILLING_NMAS_TST_RECVRY_TRK,BILLING,NMAS_TST_RECVRY_TRK,1,INSERT,
BILLING_RUN,BILLING_SECDEPOSIT_APPLICATION,BILLING,SECDEPOSIT_APPLICATION,1,INSERT,
BILLING_RUN,BILLING_SECDEP_INTEREST_PAY,BILLING,SECDEP_INTEREST_PAY,1,INSERT,
BILLING_RUN,BILLING_SECDEP_INTEREST_RATE,BILLING,SECDEP_INTEREST_RATE,1,INSERT,
BILLING_RUN,BILLRESERVETRADERPAYMENT,BILLING,RESERVETRADERPAYMENT,1,INSERT,
BILLING_RUN,BILLRESERVETRADERRECOVERY,BILLING,RESERVETRADERRECOVERY,1,INSERT,
