REPORT_NAME,REPORT_SUB_TYPE,VERSION,DESTINATION_TABLE,TRANSACTION_TYPE,ROW_FILTER_TYPE
BILLING,REGIONEXPORTS,5,BILLINGREGIONEXPORTS,INSERT,
BILLING,REGIONFIGURES,6,BILLINGREGIONFIGURES,INSERT,
BILLING,REGIONIMPORTS,5,BILLINGREGIONIMPORTS,INSERT,
BILLING,RESERVETRADERPAYMENT,1,BILLRESERVETRADERPAYMENT,INSERT,
BILLING,RESERVETRADERRECOVERY,2,BILLRESERVETRADERRECOVERY,INSERT,
BILLING,RESERVETRADERRECOVERY,1,BILLRESERVETRADERRECOVERY,INSERT,
BILLING,RUNTRK,5,BILLINGRUNTRK,INSERT,
BILLING,SECDEPOSIT_APPLICATION,1,BILLING_SECDEPOSIT_APPLICATION,INSERT,
BILLING,SECDEP_INTEREST_PAY,1,BILLING_SECDEP_INTEREST_PAY,INSERT,
BILLING,SECDEP_INTEREST_RATE,1,BILLING_SECDEP_INTEREST_RATE,INSERT,
BILLING,SUBST_DEMAND,1,BILLING_SUBST_DEMAND,INSERT,
BILLING,SUBST_RUN_VERSION,1,BILLING_SUBST_RUN_VERSION,INSERT,
BILLING,WDR,1,BILLING_WDR,INSERT,
BILLING,WDR_DETAIL,1,BILLING_WDR_DETAIL,INSERT,
BILLING_CONFIG,BILLINGCALENDAR,1,BILLINGCALENDAR,INSERT-UPDATE,LASTCHANGED
BILLING_CONFIG,BILLINGCALENDAR,2,BILLINGCALENDAR,INSERT-UPDATE,LASTCHANGED
BILLING_CONFIG,GST_BAS_CLASS,1,GST_BAS_CLASS,INSERT,
BILLING_CONFIG,GST_RATE,1,GST_RATE,INSERT,
BILLING_CONFIG,GST_TRANSACTION_CLASS,1,GST_TRANSACTION_CLASS,INSERT-UPDATE,LASTCHANGED
BILLING_CONFIG,GST_TRANSACTION_TYPE,1,GST_TRANSACTION_TYPE,INSERT-UPDATE,LASTCHANGED
BILLING_CONFIG,SECDEPOSIT_INTEREST_RATE,1,SECDEPOSIT_INTEREST_RATE,INSERT,
BILLING_CONFIG,SECDEPOSIT_PROVISION,1,SECDEPOSIT_PROVISION,INSERT,
DEMAND,INTERMITTENT_CLUSTER_AVAIL,1,INTERMITTENT_CLUSTER_AVAIL,INSERT,
DEMAND,INTERMITTENT_CLUSTER_AVAIL,2,INTERMITTENT_CLUSTER_AVAIL,INSERT,
DEMAND,INTERMITTENT_CLUSTER_AVAIL_DAY,1,INTERMITTENT_CLUSTER_AVAIL_DAY,INSERT,
DEMAND,INTERMITTENT_DS_PRED,1,INTERMITTENT_DS_PRED,INSERT,
DEMAND,INTERMITTENT_DS_RUN,1,INTERMITTENT_DS_RUN,INSERT-UPDATE,NONE
