
REPORT_NAME,REPORT_SUB_TYPE,VERSION,DESTINATION_TABLE,TRANSACTION_TYPE,ROW_FILTER_TYPE,IS_ACTIVE,IS_NEW
BILLING,INTERRESIDUES,5,BILLINGINTERRESIDUES,INSERT,,1,0
BILLING,INTRARESIDUES,5,BILLINGINTRARESIDUES,INSERT,,1,0
BILLING,IRAUCSURPLUS,5,BILLINGIRAUCSURPLUS,INSERT,,1,0
BILLING,IRAUCSURPLUSSUM,7,BILLINGIRAUCSURPLUSSUM,INSERT,,1,0
BILLING,IRNSPSURPLUS,5,BILLINGIRNSPSURPLUS,INSERT,,1,0
BILLING,IRNSPSURPLUSSUM,6,BILLINGIRNSPSURPLUSSUM,INSERT,,1,0
BILLING,IRPARTSURPLUS,5,BILLINGIRPARTSURPLUS,INSERT,,1,0
BILLING,IRPARTSURPLUSSUM,7,BILLINGIRPARTSURPLUSSUM,INSERT,,1,0
BILLING,NMAS_TST_PAYMENTS,1,BILLING_NMAS_TST_PAYMENTS,INSERT,,1,0
BILLING,NMAS_TST_RECOVERY,1,BILLING_NMAS_TST_RECOVERY,INSERT,,1,0
BILLING,NMAS_TST_RECOVERY,2,BILLING_NMAS_TST_RECOVERY,INSERT,,1,0
BILLING,NMAS_TST_RECVRY_RBF,1,BILLING_NMAS_TST_RECVRY_RBF,INSERT,,1,0
BILLING,NMAS_TST_RECVRY_TRK,1,BILLING_NMAS_TST_RECVRY_TRK,INSERT,,1,0
BILLING,PRIORADJUSTMENTS,5,BILLINGPRIORADJUSTMENTS,INSERT,,1,0
BILLING,REALLOC,5,BILLINGREALLOC,INSERT,,1,0
BILLING,REALLOC_DETAIL,5,BILLINGREALLOC_DETAIL,INSERT,,1,0
BILLING,REGIONEXPORTS,5,BILLINGREGIONEXPORTS,INSERT,,1,0
BILLING,REGIONFIGURES,6,BILLINGREGIONFIGURES,INSERT,,1,0
BILLING,REGIONIMPORTS,5,BILLINGREGIONIMPORTS,INSERT,,1,0
BILLING,RESERVETRADERPAYMENT,1,BILLRESERVETRADERPAYMENT,INSERT,,1,0
BILLING,RESERVETRADERRECOVERY,3,BILLRESERVETRADERRECOVERY,INSERT,,1,0
BILLING,RESERVETRADERRECOVERY,2,BILLRESERVETRADERRECOVERY,INSERT,,1,0
BILLING,RUNTRK,5,BILLINGRUNTRK,INSERT,,1,0
BILLING,SECDEPOSIT_APPLICATION,1,BILLING_SECDEPOSIT_APPLICATION,INSERT,,1,0
BILLING,SECDEP_INTEREST_PAY,1,BILLING_SECDEP_INTEREST_PAY,INSERT,,1,0
BILLING,SECDEP_INTEREST_RATE,1,BILLING_SECDEP_INTEREST_RATE,INSERT,,1,0
BILLING,SUBST_DEMAND,1,BILLING_SUBST_DEMAND,INSERT,,1,0
BILLING,SUBST_RUN_VERSION,1,BILLING_SUBST_RUN_VERSION,INSERT,,1,0
BILLING,WDR,1,BILLING_WDR,INSERT,,1,0
BILLING,WDR_DETAIL,1,BILLING_WDR_DETAIL,INSERT,,1,0
BILLING_CONFIG,BILLINGCALENDAR,2,BILLINGCALENDAR,INSERT-UPDATE,LASTCHANGED,1,0
BILLING_CONFIG,BILLINGCALENDAR,1,BILLINGCALENDAR,INSERT-UPDATE,LASTCHANGED,1,0
BILLING_CONFIG,GST_BAS_CLASS,1,GST_BAS_CLASS,INSERT,,1,0
BILLING_CONFIG,GST_RATE,1,GST_RATE,INSERT,,1,0
BILLING_CONFIG,GST_TRANSACTION_CLASS,1,GST_TRANSACTION_CLASS,INSERT-UPDATE,LASTCHANGED,1,0
BILLING_CONFIG,GST_TRANSACTION_TYPE,1,GST_TRANSACTION_TYPE,INSERT-UPDATE,LASTCHANGED,1,0
BILLING_CONFIG,SECDEPOSIT_INTEREST_RATE,1,SECDEPOSIT_INTEREST_RATE,INSERT,,1,0
BILLING_CONFIG,SECDEPOSIT_PROVISION,1,SECDEPOSIT_PROVISION,INSERT,,1,0
DEMAND,INTERMITTENT_CLUSTER_AVAIL,2,INTERMITTENT_CLUSTER_AVAIL,INSERT,,1,0
DEMAND,INTERMITTENT_CLUSTER_AVAIL,1,INTERMITTENT_CLUSTER_AVAIL,INSERT,,1,0
DEMAND,INTERMITTENT_CLUSTER_AVAIL_DAY,1,INTERMITTENT_CLUSTER_AVAIL_DAY,INSERT,,1,0
DEMAND,INTERMITTENT_DS_PRED,1,INTERMITTENT_DS_PRED,INSERT,,1,0
DEMAND,INTERMITTENT_DS_RUN,1,INTERMITTENT_DS_RUN,INSERT-UPDATE,NONE,1,0
DEMAND,INTERMITTENT_GEN_LIMIT,1,INTERMITTENT_GEN_LIMIT,INSERT,,1,0
DEMAND,INTERMITTENT_GEN_LIMIT_DAY,1,INTERMITTENT_GEN_LIMIT_DAY,INSERT,,1,0
DEMAND,INTERMITTENT_GEN_SCADA,1,INTERMITTENT_GEN_SCADA,INSERT,,1,0
DEMAND,MTPASA_INTERMITTENT_AVAIL,1,MTPASA_INTERMITTENT_AVAIL,INSERT,,1,0
DEMAND,MTPASA_INTERMITTENT_AVAIL,2,MTPASA_INTERMITTENT_AVAIL,INSERT,,1,0
DEMAND,MTPASA_INTERMITTENT_LIMIT,1,MTPASA_INTERMITTENT_LIMIT,INSERT,,1,0
DEMAND,PERIOD,1,PERDEMAND,INSERT,,1,0
DEMAND,TRK,1,RESDEMANDTRK,INSERT,,1,0
DISPATCH,BLOCKED_CONSTRAINTS,1,DISPATCHBLOCKEDCONSTRAINT,INSERT,,1,0
DISPATCH,CASE_SOLUTION,2,DISPATCHCASESOLUTION,INSERT,,1,0
DISPATCH,CONSTRAINT,5,DISPATCHCONSTRAINT,INSERT,,1,0
DISPATCH,FCAS_REQ,2,DISPATCH_FCAS_REQ,INSERT-UPDATE,LASTCHANGED,1,0
DISPATCH,FCAS_REQ,1,DISPATCH_FCAS_REQ,INSERT-UPDATE,LASTCHANGED,1,0
DISPATCH,FCAS_REQ_CONSTRAINT,1,DISPATCH_FCAS_REQ_CONSTRAINT,INSERT,,1,0
DISPATCH,FCAS_REQ_RUN,1,DISPATCH_FCAS_REQ_RUN,INSERT,,1,0
DISPATCH,INTERCONNECTION,1,DISPATCH_INTERCONNECTION,INSERT-UPDATE,LASTCHANGED,1,0
DISPATCH,INTERCONNECTORRES,3,DISPATCHINTERCONNECTORRES,INSERT,,1,0
DISPATCH,INTERMITTENT_FORECAST_TRK,1,INTERMITTENT_FORECAST_TRK,INSERT,,1,0
DISPATCH,LOCAL_PRICE,1,DISPATCH_LOCAL_PRICE,INSERT,,1,0
DISPATCH,MNSPBIDTRK,1,DISPATCH_MNSPBIDTRK,INSERT,,1,0
DISPATCH,MR_SCHEDULE_TRK,1,DISPATCH_MR_SCHEDULE_TRK,INSERT,,1,0
DISPATCH,NEGATIVE_RESIDUE,1,NEGATIVE_RESIDUE,INSERT,,1,0
DISPATCH,OFFERTRK,1,DISPATCHOFFERTRK,INSERT,,1,0
DISPATCH,PRICE,4,DISPATCHPRICE,INSERT-UPDATE,LASTCHANGED,1,0
DISPATCH,PRICE,5,DISPATCHPRICE,INSERT-UPDATE,LASTCHANGED,1,0
DISPATCH,REGIONSUM,8,DISPATCHREGIONSUM,INSERT,,1,0
DISPATCH,REGIONSUM,7,DISPATCHREGIONSUM,INSERT,,1,0
DISPATCH,UNIT_CONFORMANCE,1,DISPATCH_UNIT_CONFORMANCE,INSERT,,1,0
DISPATCH,UNIT_CONFORMANCE,2,DISPATCH_UNIT_CONFORMANCE,INSERT,,1,0
DISPATCH,UNIT_SCADA,1,DISPATCH_UNIT_SCADA,INSERT-UPDATE,,1,0
DISPATCH,UNIT_SOLUTION,4,DISPATCHLOAD,INSERT,,1,0
DISPATCH,UNIT_SOLUTION,5,DISPATCHLOAD,INSERT,,1,0
DISPATCHBNC,CASESOLUTION,1,DISPATCHCASESOLUTION_BNC,INSERT,,1,0
DISPATCHBNC,UNITSOLUTION,1,DISPATCHLOAD_BNC,INSERT,,1,0
DISPATCHBNC,UNIT_SOLUTION,1,DISPATCHLOAD_BNC,INSERT,,1,0
DISPATCHOCD,CASE,1,DISPATCHCASE_OCD,INSERT,,1,0
DISPATCHOCD,CONSTRAINTRELAXATION,2,CONSTRAINTRELAXATION_OCD,INSERT-UPDATE,LASTCHANGED,1,0
DISPATCHOCD,CONSTRAINT_FCAS_OCD,1,DISPATCH_CONSTRAINT_FCAS_OCD,INSERT-UPDATE,LASTCHANGED,1,0
FORCE_MAJEURE,IRFMAMOUNT,1,IRFMAMOUNT,INSERT-UPDATE,LASTCHANGED,1,0
FORCE_MAJEURE,IRFMEVENTS,1,IRFMEVENTS,INSERT,,1,0
FORCE_MAJEURE,MARKET_SUSPEND_REGIME_SUM,1,MARKET_SUSPEND_REGIME_SUM,INSERT-UPDATE,LASTCHANGED,1,0
FORCE_MAJEURE,MARKET_SUSPEND_REGION_SUM,1,MARKET_SUSPEND_REGION_SUM,INSERT-UPDATE,LASTCHANGED,1,0
FORCE_MAJEURE,MARKET_SUSPEND_SCHEDULE,2,MARKET_SUSPEND_SCHEDULE,INSERT-UPDATE,LASTCHANGED,1,0
FORCE_MAJEURE,MARKET_SUSPEND_SCHEDULE,1,MARKET_SUSPEND_SCHEDULE,INSERT-UPDATE,LASTCHANGED,1,0
FORCE_MAJEURE,MARKET_SUSPEND_SCHEDULE_TRK,1,MARKET_SUSPEND_SCHEDULE_TRK,INSERT-UPDATE,LASTCHANGED,1,0
FORCE_MAJEURE,OVERRIDERRP,1,OVERRIDERRP,INSERT-UPDATE,LASTCHANGED,1,0
FORECAST,INTERMITTENT_GEN,1,INTERMITTENT_GEN_FCST,INSERT,,1,0
FORECAST,INTERMITTENT_GEN_DATA,1,INTERMITTENT_GEN_FCST_DATA,INSERT,,1,0
FPP,CONSTRAINT_FREQ_MEASURE,1,FPP_CONSTRAINT_FREQ_MEASURE,INSERT,,1,0
FPP,CONTRIBUTION_FACTOR,1,FPP_CONTRIBUTION_FACTOR,INSERT,,1,0
FPP,EST_COST,1,FPP_EST_COST,INSERT,,1,0
FPP,EST_PERF_COST_RATE,1,FPP_EST_PERF_COST_RATE,INSERT,,1,0
FPP,EST_RESIDUAL_COST_RATE,1,FPP_EST_RESIDUAL_COST_RATE,INSERT,,1,0
FPP,FCAS_SUMMARY,1,FPP_FCAS_SUMMARY,INSERT,,1,0
FPP,FORECAST_DEFAULT_CF,1,FPP_FORECAST_DEFAULT_CF,INSERT,,1,0
FPP,FORECAST_RESIDUAL_DCF,1,FPP_FORECAST_RESIDUAL_DCF,INSERT,,1,0
FPP,FPP_PERFORMANCE,1,FPP_PERFORMANCE,INSERT,,1,0
FPP,FPP_RCR,1,FPP_RCR,INSERT,,1,0
FPP,FPP_RUN,1,FPP_RUN,INSERT,,1,0
FPP,FPP_USAGE,1,FPP_USAGE,INSERT,,1,0
FPP,HIST_PERFORMANCE,1,FPP_HIST_PERFORMANCE,INSERT,,1,0
FPP,P5_FWD_EST_COST,1,FPP_P5_FWD_EST_COST,INSERT,,1,0
FPP,P5_FWD_EST_RESIDUALRATE,1,FPP_P5_FWD_EST_RESIDUALRATE,INSERT,,1,0
FPP,PD_FWD_EST_COST,1,FPP_PD_FWD_EST_COST,INSERT,,1,0
FPP,PD_FWD_EST_RESIDUALRATE,1,FPP_PD_FWD_EST_RESIDUALRATE,INSERT,,1,0
FPP,REGION_FREQ_MEASURE,1,FPP_REGION_FREQ_MEASURE,INSERT,,1,0
FPP,RESIDUAL_CF,1,FPP_RESIDUAL_CF,INSERT,,1,0
FPP,RESIDUAL_PERFORMANCE,1,FPP_RESIDUAL_PERFORMANCE,INSERT,,1,0
FPP,UNIT_MW,1,FPP_UNIT_MW,INSERT,,1,0
GASBB,GAS_BASIN,1,GAS_BASIN,UPDATE-INSERT,LASTCHANGED,1,0
GASBB,GAS_BLEND_CURTAILMENT,1,GAS_BLEND_CURTAILMENT,INSERT,,1,0
GASBB,GAS_CAPACITY_TYPE,1,GAS_CAPACITY_TYPE,UPDATE-INSERT,LASTCHANGED,1,0
